cve,descrip
"001","Centro Histórico"
"002","Buenavista-Reforma"
"003","Tlatelolco"
"004","Morelos"
"005","Moctezuma"
"006","Balbuena"
"006","Balbuena"
"007","Obrera"
"008","Condesa"
"008","Condesa"
"009","Napoles"
"009","Napoles"
"010","Vertiz Narvarte"
"011","Reforma Iztaccihuatl"
"011","Reforma Iztaccihuatl"
"012","Palacio de los Deportes"
"013","San Andrés Tetepilco"
"013","San Andrés Tetepilco"
"013","San Andrés Tetepilco"
"014","Portales"
"015","Del Valle"
"016","Chapultepec-Polanco"
"017","Panteones"
"017","Panteones"
"018","Tezozomoc"
"019","El Rosario"
"020","Industrial Vallejo"
"021","La Raza"
"021","La Raza"
"022","Cuautepec"
"023","Reclusorio Norte"
"024","Ticomán"
"025","Nueva Industrial Vallejo"
"026","Instituto Politécnico"
"027","Tepeyac"
"028","La Villa"
"029","Nueva Atzacoalco"
"030","San Felipe de Jesús"
"031","Deportivo los Galeana"
"032","Bondojito"
"033","San Juan de Aragón"
"033","San Juan de Aragón"
"034","Aeropuerto"
"035","Pantitlán"
"035","Pantitlán"
"036","Zaragoza"
"037","UPIICSA"
"038","Central de Abastos"
"038","Central de Abastos"
"039","UAM Iztapalapa"
"040","Escuadrón 201"
"041","Parque Cerro de la Estrella"
"042","Lomas Estrella"
"043","Canal Nacional"
"043","Canal Nacional"
"043","Canal Nacional"
"043","Canal Nacional"
"044","Coapa"
"044","Coapa"
"045","Culhuacán CTM"
"046","Campestre Churubusco"
"046","Campestre Churubusco"
"047","Viveros"
"047","Viveros"
"048","Pedregal de Santo Domingo"
"049","Xotepingo"
"050","Estadio Azteca"
"050","Estadio Azteca"
"051","Ciudad Universitaria"
"051","Ciudad Universitaria"
"052","Olivar de los Padres-San Jerónimo"
"052","Olivar de los Padres-San Jerónimo"
"053","Las Águilas"
"054","Santa Lucia"
"055","Molinos"
"056","Santa Fe"
"057","Observatorio"
"057","Observatorio"
"058","Las Lomas"
"058","Las Lomas"
"058","Las Lomas"
"059","Cuajimalpa"
"060","San Lorenzo Acopilco"
"061","San Bartolo-San Mateo"
"061","San Bartolo-San Mateo"
"062","Cerro del Judio"
"062","Cerro del Judio"
"063","La Magdalena Contreras"
"063","La Magdalena Contreras"
"064","Villa Olimpica"
"065","Padierna"
"065","Padierna"
"066","San Pedro Martir"
"067","Pueblo del Ajusco"
"067","Pueblo del Ajusco"
"068","Tepepan"
"068","Tepepan"
"069","Noria"
"070","Nativitas"
"070","Nativitas"
"071","Milpa Alta"
"071","Milpa Alta"
"072","Tulyehualco"
"073","El Molino Tezonco"
"073","El Molino Tezonco"
"074","Tláhuac"
"075","Mixquic"
"076","Santa Catarina"
"077","Reclusorio Oriente"
"077","Reclusorio Oriente"
"078","Desarrollo Urbano Quetzalcoatl"
"079","Buenavista Iztapalapa"
"080","Santa Maria Xalpa"
"081","San Miguel Teotongo"
