nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves   
"Identificador del hogar","5","N","id_hog","","1-56685"
"Identificador de la vivienda","5","N","id_viv","","1-54593"
"hogar","2","C","hogar","","01-05"
"renglón del informante","2","C","n_inf","","01-14"
"Pregunta 2.1 Opción 1 ¿Cuántos autos o camionetas tienen para transportarse cotidianamente?","1","C","p2_1_1","p2_1_1","0-8"
"Pregunta 2.1 Opción 2 ¿Cuántas motocicletas o motonetas tienen para transportarse cotidianamente?","1","C","p2_1_2","p2_1_2","0-9"
"Pregunta 2.1 Opción 3 ¿Cuántas bicicletas tienen para transportarse cotidianamente?","1","C","p2_1_3","p2_1_3","0-9"
"Pregunta 2.2.1.1 ¿el  auto o camioneta tiene…","1","C","p2_2","p2_2","1-4,9"
"Pregunta 2.2.1.2 ¿Cuántos autos o camionetas tiene con holograma doble cero?","1","C","p2_2b_1","p2_2b_1","0-9"
"Pregunta 2.2.1.2 Opción holograma 0?","1","C","p2_2b_2","p2_2b_2","0-9"
"Pregunta 2.2.1.2 Opción holograma 1?","1","C","p2_2b_3","p2_2b_3","0-9"
"Pregunta 2.2.1.2 Opción holograma 2?","1","C","p2_2b_4","p2_2b_4","0-9"
"estrato sociodemográfico","1","C","estrato","estrato","1-4"
"factor de expansión","4","N","factor","","5-1921"
"unidad primaria de muestreo","5","C","upm_dis","","00010-12352"
"estrato de diseño muestral","4","C","est_dis","","0010-5470"
"tamaño de localidad","1","C","tloc","tloc","1-4"
"distrito de la vivienda","3","C","distrito","distrito","001-300"
"entidad de la vivienda","2","C","ent","ent","01-32"
"municipio o delegación de la vivienda","3","C","mun","mun","001-570"
