cve,descrip
"00","Menos de un año"
"01","año cumplido"
"02","años cumplidos"
"03","años cumplidos"
"04","años cumplidos"
"05","años cumplidos"
"06","años cumplidos"
"07","años cumplidos"
"08","años cumplidos"
"09","años cumplidos"
"10","años cumplidos"
"11","años cumplidos"
"12","años cumplidos"
"13","años cumplidos"
"14","años cumplidos"
"15","años cumplidos"
"16","años cumplidos"
"17","años cumplidos"
"18","años cumplidos"
"19","años cumplidos"
"20","años cumplidos"
"21","años cumplidos"
"22","años cumplidos"
"23","años cumplidos"
"24","años cumplidos"
"25","años cumplidos"
"26","años cumplidos"
"27","años cumplidos"
"28","años cumplidos"
"29","años cumplidos"
"30","años cumplidos"
"31","años cumplidos"
"32","años cumplidos"
"33","años cumplidos"
"34","años cumplidos"
"35","años cumplidos"
"36","años cumplidos"
"37","años cumplidos"
"38","años cumplidos"
"39","años cumplidos"
"40","años cumplidos"
"41","años cumplidos"
"42","años cumplidos"
"43","años cumplidos"
"44","años cumplidos"
"45","años cumplidos"
"46","años cumplidos"
"47","años cumplidos"
"48","años cumplidos"
"49","años cumplidos"
"50","años cumplidos"
"51","años cumplidos"
"52","años cumplidos"
"53","años cumplidos"
"54","años cumplidos"
"55","años cumplidos"
"56","años cumplidos"
"57","años cumplidos"
"58","años cumplidos"
"59","años cumplidos"
"60","años cumplidos"
"61","años cumplidos"
"62","años cumplidos"
"63","años cumplidos"
"64","años cumplidos"
"65","años cumplidos"
"66","años cumplidos"
"67","años cumplidos"
"68","años cumplidos"
"69","años cumplidos"
"70","años cumplidos"
"71","años cumplidos"
"72","años cumplidos"
"73","años cumplidos"
"74","años cumplidos"
"75","años cumplidos"
"76","años cumplidos"
"77","años cumplidos"
"78","años cumplidos"
"79","años cumplidos"
"80","años cumplidos"
"81","años cumplidos"
"82","años cumplidos"
"83","años cumplidos"
"84","años cumplidos"
"85","años cumplidos"
"86","años cumplidos"
"87","años cumplidos"
"88","años cumplidos"
"89","años cumplidos"
"90","años cumplidos"
"91","años cumplidos"
"92","años cumplidos"
"93","años cumplidos"
"94","años cumplidos"
"95","años cumplidos"
"96","años cumplidos"
"97","y mas años cumplidos"
"99","No sabe"
