cve, descrip
"00", "Less than a year"
"01", "year old"
"02", "years old"
"03", "years old"
"04", "years old"
"05", "years old"
"06", "years old"
"07", "years old"
"08", "years old"
"09", "years old"
"10", "years old"
"11", "years old"
"12", "years old"
"13", "years old"
"14", "years old"
"15", "years old"
"16", "years old"
"17", "years old"
"18", "years old"
"19", "years old"
"20", "years old"
"21", "years old"
"22", "years old"
"23", "years old"
"24", "years old"
"25", "years old"
"26", "years old"
"27", "years old"
"28", "years old"
"29", "years old"
"30", "years old"
"31", "years old"
"32", "years old"
"33", "years old"
"34", "years old"
"35", "years old"
"36", "years old"
"37", "years old"
"38", "years old"
"39", "years old"
"40", "years old"
"41", "years old"
"42", "years old"
"43", "years old"
"44", "years old"
"45", "years old"
"46", "years old"
"47", "years old"
"48", "years old"
"49", "years old"
"50", "years old"
"51", "years old"
"52", "years old"
"53", "years old"
"54", "years old"
"55", "years old"
"56", "years old"
"57", "years old"
"58", "years old"
"59", "years old"
"60", "years old"
"61", "years old"
"62", "years old"
"63", "years old"
"64", "years old"
"65", "years old"
"66", "years old"
"67", "years old"
"68", "years old"
"69", "years old"
"70", "years old"
"71", "years old"
"72", "years old"
"73", "years old"
"74", "years old"
"75", "years old"
"76", "years old"
"77", "years old"
"78", "years old"
"79", "years old"
"80", "years old"
"81", "years old"
"82", "years old"
"83", "years old"
"84", "years old"
"85", "years old"
"86", "years old"
"87", "years old"
"88", "years old"
"89", "years old"
"90", "years old"
"91", "years old"
"92", "years old"
"93", "years old"
"94", "years old"
"95", "years old"
"96", "years old"
"97", "and more years old"
"99", "Do not know"
