nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves   
"Identificador de transporte","6","N","id_tra","","1-890748"
"Identificador de viaje","6","N","id_via","","1-531594"
"5.3 Día de viaje","1","C","p5_3","p5_3","1,2"
"5.8 Número de viaje","2","C","n_via","","01-14"
"5.14 Medio de transporte que utilizó","2","C","p5_14","p5_14","01-20"
"5.16 ¿En qué orden los utilizó?","2","C","p5_16","","01-10"
"5.16.1. incluyendo el tiempo de espera y trasbordo ¿cuántas horas hizo en (respuesta de  5.14)?","2","C","p5_16_1_1","","00-23,99"
"5.16.1. incluyendo el tiempo de espera y trasbordo ¿cuántos minutos hizo en (respuesta de  5.14)?","2","C","p5_16_1_2","","00-29,99"
"5.16.2. ¿cuánto gastó en (respuesta de 5.14)?","3","C","p5_16_2","","000-999"
"Código de estación que subió","3","C","p5_17_1c","p5_17_1c","001-304,999"
"Código de estación que abandonó","3","C","p5_17_2c","p5_17_2c","001-304,999"
"estrato sociodemográfico","1","C","estrato","estrato","1-4"
"factor","4","N","factor","","5-1921"
"unidad primaria de muestreo","5","C","upm_dis","","00010-12352"
"estrato de diseño muestral","4","C","est_dis","","0010-5470"
"tamaño de localidad","1","C","tloc","tloc","1-4"
"sexo de la persona","1","C","sexo","sexo","1,2"
"edad de la persona","2","C","edad","edad","06-99"
