cve,descrip
"01","Su hogar"
"02","Escuela"
"03","Oficina"
"04","Fábrica o taller"
"05","Comercio, mercado, tienda o centro comercial"
"06","Centro cultural o área recreativa"
"07","Otra vivienda"
"08","Hospital, clínica, consultorio, laboratorio clínico"
"09","Restaurante, bar, cafetería"
"10","Deportivo, gimnasio"
"11","Bases o estaciones de transporte público"
"12","Obra en construcción"
"13","Otros servicios"
"14","Recinto religioso"
"15","Vía pública"
"16","Otro"
"99","No sabe"
