ent,mun,distrito,descrip
"09","002","017","Panteones"
"09","002","018","Tezozomoc"
"09","002","019","El Rosario"
"09","002","020","Industrial Vallejo"
"09","002","021","La Raza"
"09","003","043","Canal Nacional"
"09","003","044","Coapa"
"09","003","045","Culhuacán CTM "
"09","003","046","Campestre Churubusco"
"09","003","047","Viveros"
"09","003","048","Pedregal de Santo Domingo "
"09","003","049","Xotepingo"
"09","003","050","Estadio Azteca"
"09","003","051","Ciudad Universitaria"
"09","004","058","Las Lomas"
"09","004","059","Cuajimalpa"
"09","004","060","San Lorenzo Acopilco"
"09","004","061","San Bartolo-San Mateo "
"09","005","022","Cuautepec"
"09","005","023","Reclusorio Norte"
"09","005","024","Ticomán"
"09","005","025","Nueva Industrial Vallejo"
"09","005","026","Instituto Politécnico "
"09","005","027","Tepeyac"
"09","005","028","La Villa "
"09","005","029","Nueva Atzacoalco"
"09","005","030","San Felipe de Jesús "
"09","005","031","Deportivo los Galeana "
"09","005","032","Bondojito"
"09","005","033","San Juan de Aragón"
"09","006","011","Reforma Iztaccihuatl"
"09","006","012","Palacio de los Deportes "
"09","006","013","San Andrés Tetepilco"
"09","006","035","Pantitlán"
"09","006","037","UPIICSA"
"09","006","038","Central de Abastos"
"09","007","013","San Andrés Tetepilco"
"09","007","038","Central de Abastos"
"09","007","039","UAM Iztapalapa"
"09","007","040","Escuadrón 201 "
"09","007","041","Parque Cerro de la Estrella "
"09","007","042","Lomas Estrella"
"09","007","043","Canal Nacional"
"09","007","046","Campestre Churubusco"
"09","007","073","El Molino Tezonco "
"09","007","077","Reclusorio Oriente"
"09","007","078","Desarrollo Urbano Quetzalcoatl"
"09","007","079","Buenavista Iztapalapa "
"09","007","080","Santa Maria Xalpa "
"09","007","081","San Miguel Teotongo "
"09","007","082","Santa Martha Acatitla "
"09","007","083","Juan Escutia"
"09","007","084","Santa Cruz Meyehualco "
"09","007","085","Ejército Constitucionalista "
"09","008","052","Olivar de los Padres-San Jerónimo "
"09","008","062","Cerro del Judio "
"09","008","063","La Magdalena Contreras"
"09","008","065","Padierna "
"09","009","071","Milpa Alta"
"09","010","047","Viveros"
"09","010","051","Ciudad Universitaria"
"09","010","052","Olivar de los Padres-San Jerónimo "
"09","010","053","Las Águilas "
"09","010","054","Santa Lucia "
"09","010","055","Molinos"
"09","010","056","Santa Fe "
"09","010","057","Observatorio"
"09","010","058","Las Lomas"
"09","010","061","San Bartolo-San Mateo "
"09","010","062","Cerro del Judio "
