nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves   
"Identificador de la vivienda","5","N","id_viv","","1-54593"
"Folio de la vivienda","5","C","folio","","00101-30064"
"Vivienda seleccionada","2","C","viv_sel","","01-10"
"Distrito ","3","C","distrito","distrito","001-300"
"Entidad","2","C","ent","ent","01-32"
"Municipio o delegación","3","C","mun","mun","001-570"
"UPM","7","C","upm","","0900002-1562257"
"Pregunta 1.1 ¿Cuántas personas viven normalmente en esta vivienda contando a los niños chiquitos,  ancianos y personas con discapacidad? incluya  a los trabajadores domésticos que viven aquí.","2","C","p1_1","p1_1","01-24"
"Pregunta 1.2 ¿Todas las personas que viven en esta vivienda comparten un mismo gasto para comer?","1","C","p1_2","p1_2","1,2"
"Pregunta 1.3 Entonces, ¿cuántos hogares o grupos de personas tienen gasto separado para comer contando el de usted?","2","C","p1_3","p1_3","02-05"
"Estrato sociodemográfico ","1","C","estrato ","estrato ","1-4"
"Factor","4","N","factor","","5-1921"
"Unidad primaria de muestreo","5","C","upm_dis","","00010-12352"
"Estrato de diseño muestral","4","C","est_dis",""," 0010-5470"
"Tamaño de localidad","1","C","tloc","tloc","1-4"
