field_name,length,type,mnemonic,catalogue,key_ranges
Property identifier,5,N,id_viv,,1-54593
Folio of the dwelling,5,C,folio,,00101-30064
Selected housing,2,C,viv_sel,,01-10
District,3,C,distrito,distrito,001-300
Entity,2,C,ent,ent,01-32
Municipality or delegation,3,C,mun,mun,001-570
UPM,7,C,upm,,0900002-1562257
Question 1.1 How many people normally live in this house counting small children,2,C,p1_1,p1_1,01-24
Question 1.2 Do all the people who live in this house share the same expense to eat?,1,C,p1_2,p1_2,"1,2"
Question 1.3 So,2,C,p1_3,p1_3,02-05
Sociodemographic stratum,1,C,estrato ,estrato ,1-4
Factor,4,N,factor,,5-1921
Primary sampling unit,5,C,upm_dis,,00010-12352
Sample design layer,4,C,est_dis,,0010-5470
Location size,1,C,tloc,tloc,1-4
